sku,category_1_name,category_2_name,category_3_name,category_4_name,category_5_name,collection_real_launch_date_date,product_first_order_date,descricao_cor,familia_cor_nome
1281_40130845_0_U,Feminino,Acessórios,Bijoux,Brincos,,1969-12-31,2015-08-05,PRATA,PRATEADO
128_1000072_0_M,Feminino,Moda,Roupas,Vestidos,Midi,1969-12-31,2015-06-15,MOSTARDA,AMARELO
128_40130843_0_M,Feminino,Moda,Roupas,Vestidos,Midi,1969-12-31,2015-06-11,PRETO,PRETO
1305_1000018_0_U,Feminino,Acessórios,Bijoux,Brincos,,1969-12-31,2015-07-25,DOURADO,DOURADO
1309_1000046_0_38,Feminino,Moda,Roupas,Calças,Reta,1969-12-31,2015-08-26,NUDE,ROSA
1317_40130845_0_U,Feminino,Acessórios,Bijoux,Brincos,,1969-12-31,2015-07-28,PRATA,PRATEADO
1327_1000032_0_38,Feminino,Moda,Roupas,Jaquetas & Casacos,Casacos,2016-04-04,2016-05-08,MARINHO,AZUL
1327_1000058_0_36,Feminino,Moda,Roupas,Jaquetas & Casacos,Casacos,2016-04-04,2015-07-01,OFF-WHITE,BRANCO
1327_1000074_0_40,Feminino,Moda,Roupas,Jaquetas & Casacos,Casacos,2016-04-04,2016-05-03,CINZA ESCURO,CINZA
1331_1000078_0_36,Feminino,Moda,Roupas,Blazers,,1969-12-31,2015-07-23,TAUPE,BEGE
1331_1000078_0_40,Feminino,Moda,Roupas,Blazers,,1969-12-31,2015-08-29,TAUPE,BEGE
1337_40130843_0_40,Feminino,Moda,Roupas,Blazers,,1969-12-31,2015-07-10,PRETO,PRETO
1343_1000028_0_40,Feminino,Moda,Roupas,Calças,Reta,1969-12-31,2015-07-05,VERDE,VERDE
1343_40130843_0_36,Feminino,Moda,Roupas,Calças,Reta,1969-12-31,2015-07-02,PRETO,PRETO
1343_40130843_0_38,Feminino,Moda,Roupas,Calças,Reta,1969-12-31,2015-07-01,PRETO,PRETO
1355_1000086_0_36,Feminino,Moda,Roupas,Vestidos,Maxi,1969-12-31,2015-07-01,UVA,ROXO
1361_1000018_0_U,Feminino,Acessórios,Bijoux,Colares,,1969-12-31,2015-07-22,DOURADO,DOURADO
1367_40130843_0_42,Feminino,Moda,Roupas,Vestidos,Maxi,1969-12-31,2015-07-02,PRETO,PRETO
1375_1000086_0_PP,Feminino,Moda,Roupas,Blusas,Regatas,1969-12-31,2015-07-01,UVA,ROXO
137_40130843_0_42,Feminino,Moda,Roupas,Vestidos,Maxi,2015-03-30,2016-04-18,PRETO,PRETO
1383_1000086_0_M,Feminino,Moda,Roupas,Blusas,Regatas,1969-12-31,2015-07-12,UVA,ROXO
1387_40130843_0_42,Feminino,Moda,Roupas,Vestidos,,1969-12-31,2015-07-01,PRETO,PRETO
1401_1000078_0_36,Feminino,Moda,Roupas,Calças,Reta,1969-12-31,2015-07-02,TAUPE,BEGE
1405_1000018_0_42,Feminino,Moda,Roupas,Blusas,Regatas,1969-12-31,2015-07-01,DOURADO,DOURADO
1407_1000030_0_42,Feminino,Moda,Roupas,Blusas,Camisas,1969-12-31,2015-07-18,AZUL,AZUL
1457_31_0_U,Feminino,Acessórios,Outros,Luvas,,1969-12-31,2015-05-30,MARSALA,VERMELHO
1469_1000054_0_U,Feminino,Acessórios,Bolsas,Maxi,,1969-12-31,2015-06-01,CARAMELO,MARROM
1469_40130843_0_U,Feminino,Acessórios,Bolsas,Maxi,,1969-12-31,2015-06-02,PRETO,PRETO
1519_1000012_0_U,Feminino,Acessórios,Bolsas,Mini,,1969-12-31,2015-06-13,BEGE,BEGE
1523_1000016_0_P,Feminino,Moda,Roupas,Calças,Flare,1969-12-31,2015-07-13,MARROM,MARROM
1573_1000018_0_U,Feminino,Acessórios,Bijoux,Pulseiras,,1969-12-31,2015-06-09,DOURADO,DOURADO
157_1000030_0_P,Feminino,Moda,Roupas,Suéters & Cardigãs,Suéters,2015-03-30,2015-06-24,AZUL,AZUL
157_1000096_0_M,Feminino,Moda,Roupas,Suéters & Cardigãs,Suéters,2015-03-30,2016-02-29,AZUL ESCURO,AZUL
157_1000096_0_P,Feminino,Moda,Roupas,Suéters & Cardigãs,Suéters,2015-03-30,2016-02-12,AZUL ESCURO,AZUL
1619_1000098_0_U,Feminino,Acessórios,Bijoux,Anéis,,1969-12-31,2015-06-26,MARFIM,BEGE
161_1000030_0_G,Feminino,Moda,Roupas,Suéters & Cardigãs,Tricôs,2015-03-30,2015-05-05,AZUL,AZUL
161_1000030_0_P,Feminino,Moda,Roupas,Suéters & Cardigãs,Tricôs,2015-03-30,2015-06-08,AZUL,AZUL
161_40130843_0_G,Feminino,Moda,Roupas,Suéters & Cardigãs,Tricôs,2015-03-30,2015-05-06,PRETO,PRETO
1621_40130845_0_U,Feminino,Acessórios,Bijoux,Colares,,1969-12-31,2015-05-31,PRATA,PRATEADO
1633_1000016_0_U,Feminino,Acessórios,Bijoux,Pulseiras,,1969-12-31,2015-06-19,MARROM,MARROM
1643_40130843_0_U,Feminino,Acessórios,Cintos,,,1969-12-31,2015-05-29,PRETO,PRETO
1691_1000022_0_U,Feminino,Acessórios,Bijoux,Pulseiras,,1969-12-31,2015-06-01,LARANJA,LARANJA
1693_40130843_0_U,Feminino,Acessórios,Bijoux,Anéis,,1969-12-31,2015-06-15,PRETO,PRETO
1723_1000018_0_U,Feminino,Acessórios,Bijoux,Brincos,,1969-12-31,2015-06-03,DOURADO,DOURADO
1737_40130843_0_G,Feminino,Moda,Roupas,Coletes & Kimonos,Coletes,1969-12-31,2015-06-07,PRETO,PRETO
1751_1000016_0_U,Feminino,Acessórios,Lenços,,,1969-12-31,2015-06-20,MARROM,MARROM
1843_1000058_0_G,Feminino,Moda,Roupas,Blazers,,1969-12-31,2015-07-04,OFF-WHITE,BRANCO
1845_1000050_0_G,Feminino,Moda,Roupas,Jaquetas & Casacos,,1969-12-31,2015-07-05,CAMEL,MARROM
1845_1000050_0_GG,Feminino,Moda,Roupas,Jaquetas & Casacos,,1969-12-31,2015-07-01,CAMEL,MARROM
1857_1000018_0_U,Feminino,Acessórios,Bijoux,Colares,,1969-12-31,2015-08-25,DOURADO,DOURADO
1863_1000018_0_U,Feminino,Acessórios,Bijoux,Pulseiras,,1969-12-31,2015-07-19,DOURADO,DOURADO
1867_1000018_0_U,Feminino,Acessórios,Bijoux,Pulseiras,,1969-12-31,2015-07-10,DOURADO,DOURADO
1871_1000076_0_U,Feminino,Acessórios,Bijoux,Brincos,,1969-12-31,2015-07-03,GRAFITE,CINZA
1873_20_0_U,Feminino,Acessórios,Bijoux,Brincos,,1969-12-31,2015-07-01,ONIX,PRATEADO
1875_1000018_0_U,Feminino,Acessórios,Bijoux,Brincos,,1969-12-31,2015-07-01,DOURADO,DOURADO
1877_1000018_0_U,Feminino,Acessórios,Bijoux,Brincos,,1969-12-31,2015-07-02,DOURADO,DOURADO
1885_1000018_0_U,Feminino,Acessórios,Bijoux,Brincos,,1969-12-31,2015-07-01,DOURADO,DOURADO
1893_1000018_0_U,Feminino,Acessórios,Cabelo,,,1969-12-31,2015-07-18,DOURADO,DOURADO
1901_1000018_0_U,Feminino,Acessórios,Bijoux,Pulseiras,,1969-12-31,2015-07-08,DOURADO,DOURADO
1901_40130845_0_U,Feminino,Acessórios,Bijoux,Pulseiras,,1969-12-31,2015-07-03,PRATA,PRATEADO
1911_1000018_0_U,Feminino,Acessórios,Bijoux,Broches,,1969-12-31,2015-08-03,DOURADO,DOURADO
1913_40130845_0_U,Feminino,Acessórios,Bijoux,Broches,,1969-12-31,2015-07-19,PRATA,PRATEADO
1915_40130845_0_U,Feminino,Acessórios,Bijoux,Pulseiras,,1969-12-31,2015-07-02,PRATA,PRATEADO
1919_40130845_0_U,Feminino,Acessórios,Bijoux,Pulseiras,,1969-12-31,2015-07-07,PRATA,PRATEADO
1923_40130845_0_U,Feminino,Acessórios,Bijoux,Colares,,1969-12-31,2015-07-14,PRATA,PRATEADO
1927_40130843_0_U,Feminino,Acessórios,Chapéus,,,1969-12-31,2015-07-02,PRETO,PRETO
1929_1000034_0_U,Feminino,Acessórios,Chapéus,,,1969-12-31,2015-07-01,ROXO,ROXO
1947_40130843_0_U,Feminino,Acessórios,Óculos de Sol,,,1969-12-31,2015-07-02,PRETO,PRETO
1949_40130843_0_U,Feminino,Acessórios,Óculos de Sol,,,1969-12-31,2015-07-02,PRETO,PRETO
1955_40130843_0_U,Feminino,Acessórios,Óculos de Sol,,,1969-12-31,2015-08-10,PRETO,PRETO
1957_1000018_0_U,Feminino,Acessórios,Bijoux,Brincos,,1969-12-31,2015-07-01,DOURADO,DOURADO
1969_40130843_0_U,Feminino,Acessórios,Bijoux,Colares,,1969-12-31,2015-07-01,PRETO,PRETO
1983_40130843_0_U,Feminino,Acessórios,Óculos de Sol,,,1969-12-31,2015-07-29,PRETO,PRETO
1991_1000010_0_U,Feminino,Acessórios,Bijoux,Pulseiras,,1969-12-31,2015-07-02,CREME,BEGE
1991_40130843_0_U,Feminino,Acessórios,Bijoux,Pulseiras,,1969-12-31,2015-07-02,PRETO,PRETO
2001_40130843_0_U,Feminino,Acessórios,Cintos,,,1969-12-31,2015-07-01,PRETO,PRETO
2007_40130843_0_U,Feminino,Acessórios,Cintos,,,1969-12-31,2015-07-02,PRETO,PRETO
2031_1000018_0_U,Feminino,Acessórios,Bijoux,Colares,,1969-12-31,2015-07-05,DOURADO,DOURADO
2041_1000076_0_U,Feminino,Acessórios,Bijoux,Colares,,1969-12-31,2015-07-01,GRAFITE,CINZA
2051_1000076_0_U,Feminino,Acessórios,Bijoux,Brincos,,1969-12-31,2015-07-09,GRAFITE,CINZA
2053_1000028_0_U,Feminino,Acessórios,Lenços,,,1969-12-31,2015-07-04,VERDE,VERDE
2117_173_0_40,Feminino,Moda,Roupas,Blusas,Camisas,2015-09-02,2015-09-09,PALHA,BEGE
2121_67_0_G,Feminino,Moda,Roupas,Blusas,Blusas,2015-09-02,2015-09-02,MEDITERRÃ?NEO,AZUL
2121_67_0_P,Feminino,Moda,Roupas,Blusas,Blusas,2015-09-02,2015-09-05,MEDITERRÃ?NEO,AZUL
2123_1000058_0_G,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-03,OFF-WHITE,BRANCO
2123_1000058_0_M,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-02,OFF-WHITE,BRANCO
2123_65_0_GG,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-08,PEIXES,AZUL
2123_65_0_M,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-10,PEIXES,AZUL
2123_65_0_P,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-02,PEIXES,AZUL
2123_71_0_GG,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-08,RIVIERA,VERDE
2123_75_0_G,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-11,CHAINS VERMELHA,VERMELHO
2123_75_0_M,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-02,CHAINS VERMELHA,VERMELHO
2125_65_0_PP,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-13,PEIXES,AZUL
2125_71_0_G,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-23,RIVIERA,VERDE
2125_73_0_M,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-02,CHAINS PRETA,PRETO
2125_75_0_G,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-16,CHAINS VERMELHA,VERMELHO
2125_75_0_M,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-25,CHAINS VERMELHA,VERMELHO
2125_75_0_PP,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-17,CHAINS VERMELHA,VERMELHO
2131_1000020_0_G,Feminino,Moda,Roupas,Blusas,Blusas,2015-09-02,2015-09-02,AMARELO,AMARELO
2131_1000058_0_P,Feminino,Moda,Roupas,Blusas,Blusas,2015-09-02,2015-09-02,OFF-WHITE,BRANCO
2135_1000058_0_42,Feminino,Moda,Roupas,Blusas,Camisas,2015-09-02,2015-10-04,OFF-WHITE,BRANCO
2137_1000058_0_40,Feminino,Moda,Roupas,Blusas,Camisas,2015-09-02,2015-09-03,OFF-WHITE,BRANCO
2137_1000058_0_40,Feminino,Moda,Roupas,Blusas,Blusas,2015-09-02,2015-09-03,OFF-WHITE,BRANCO
2137_1000058_0_44,Feminino,Moda,Roupas,Blusas,Camisas,2015-09-02,2015-09-12,OFF-WHITE,BRANCO
2137_1000058_0_44,Feminino,Moda,Roupas,Blusas,Blusas,2015-09-02,2015-09-12,OFF-WHITE,BRANCO
2139_1000058_0_G,Feminino,Moda,Roupas,Blusas,Cropped,2015-09-02,2015-09-03,OFF-WHITE,BRANCO
2143_40130845_0_M,Feminino,Moda,Roupas,Saias,Midi,2015-09-02,2015-09-05,PRATA,PRATEADO
2143_40130845_0_P,Feminino,Moda,Roupas,Saias,Midi,2015-09-02,2015-09-06,PRATA,PRATEADO
2147_215_0_36,Feminino,Moda,Roupas,Calças,Flare,2015-09-02,2015-12-27,MARGARIDA MOSTARDA,AMARELO
2147_215_0_38,Feminino,Moda,Roupas,Calças,Flare,2015-09-02,2015-12-12,MARGARIDA MOSTARDA,AMARELO
2147_215_0_40,Feminino,Moda,Roupas,Calças,Flare,2015-09-02,2015-12-15,MARGARIDA MOSTARDA,AMARELO
2147_215_0_44,Feminino,Moda,Roupas,Calças,Flare,2015-09-02,2016-01-26,MARGARIDA MOSTARDA,AMARELO
2147_219_0_42,Feminino,Moda,Roupas,Calças,Flare,2015-09-02,2016-02-11,RETRO MOSTARDA,AMARELO
2147_40130843_0_42,Feminino,Moda,Roupas,Calças,Flare,2015-09-02,2015-09-03,PRETO,PRETO
2147_71_0_36,Feminino,Moda,Roupas,Calças,Flare,2015-09-02,2015-09-28,RIVIERA,VERDE
2151_1000020_0_38,Feminino,Moda,Roupas,Jaquetas & Casacos,Jaquetas,2015-09-02,2015-09-02,AMARELO,AMARELO
2151_1000058_0_38,Feminino,Moda,Roupas,Jaquetas & Casacos,Jaquetas,2015-09-02,2015-09-02,OFF-WHITE,BRANCO
2153_1000010_0_38,Feminino,Moda,Roupas,Shorts,,2015-09-02,2015-09-03,CREME,BEGE
2155_40130843_0_38,Feminino,Moda,Roupas,Saias,Mini,2015-09-02,2015-09-02,PRETO,PRETO
2157_1000096_0_40,Feminino,Moda,Roupas,Calças,Reta,2015-09-02,2015-09-02,AZUL ESCURO,AZUL
2157_1000096_0_42,Feminino,Moda,Roupas,Calças,Reta,2015-09-02,2015-09-07,AZUL ESCURO,AZUL
2157_1000096_0_44,Feminino,Moda,Roupas,Calças,Reta,2015-09-02,2015-09-02,AZUL ESCURO,AZUL
2157_40130843_0_36,Feminino,Moda,Roupas,Calças,Reta,2015-09-02,2015-09-02,PRETO,PRETO
2159_1000030_0_P,Feminino,Moda,Roupas,Blusas,Cropped,2015-09-02,2015-09-06,AZUL,AZUL
2161_1000030_0_PP,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-03,AZUL,AZUL
2163_1000058_0_G,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-02,OFF-WHITE,BRANCO
2163_1000058_0_PP,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-03,OFF-WHITE,BRANCO
2165_1000058_0_G,Feminino,Moda,Roupas,Blusas,Blusas,2015-09-02,2015-09-03,OFF-WHITE,BRANCO
2165_1000058_0_M,Feminino,Moda,Roupas,Blusas,Blusas,2015-09-02,2015-09-13,OFF-WHITE,BRANCO
2167_40130843_0_M,Feminino,Moda,Roupas,Vestidos,Maxi,2015-09-02,2015-11-04,PRETO,PRETO
2167_67_0_G,Feminino,Moda,Roupas,Vestidos,Maxi,2015-09-02,2015-10-29,MEDITERRÃ?NEO,AZUL
2167_67_0_P,Feminino,Moda,Roupas,Vestidos,Maxi,2015-09-02,2015-10-26,MEDITERRÃ?NEO,AZUL
2171_1000024_0_38,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-18,VERMELHO,VERMELHO
2171_1000058_0_36,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-22,OFF-WHITE,BRANCO
2171_40130843_0_38,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-17,PRETO,PRETO
2173_1000032_0_40,Feminino,Moda,Roupas,Calças,Skinny,2015-09-02,2015-09-10,MARINHO,AZUL
2173_1000058_0_36,Feminino,Moda,Roupas,Calças,Skinny,2015-09-02,2015-09-04,OFF-WHITE,BRANCO
2173_1000058_0_42,Feminino,Moda,Roupas,Calças,Skinny,2015-09-02,2015-09-02,OFF-WHITE,BRANCO
2173_40130843_0_36,Feminino,Moda,Roupas,Calças,Skinny,2015-09-02,2015-09-02,PRETO,PRETO
2175_1000058_0_P,Feminino,Moda,Roupas,Vestidos,Midi,2015-09-02,2015-09-16,OFF-WHITE,BRANCO
2177_65_0_P,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-09,PEIXES,AZUL
2177_77_0_M,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-03,SICILIA,VERMELHO
2179_1000032_0_42,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-04,MARINHO,AZUL
2181_40130843_0_42,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-21,PRETO,PRETO
2181_65_0_36,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-11-27,PEIXES,AZUL
2181_71_0_38,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-14,RIVIERA,VERDE
2181_77_0_40,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-04,SICILIA,VERMELHO
2181_77_0_42,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-08,SICILIA,VERMELHO
2183_1000020_0_40,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-02,AMARELO,AMARELO
2183_1000032_0_38,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-05,MARINHO,AZUL
2187_1000058_0_38,Feminino,Moda,Roupas,Macacão,Macaquinho,2015-09-02,2015-09-15,OFF-WHITE,BRANCO
2187_1000058_0_40,Feminino,Moda,Roupas,Macacão,Macaquinho,2015-09-02,2015-09-11,OFF-WHITE,BRANCO
2189_1000058_0_P,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-02,OFF-WHITE,BRANCO
2191_1000032_0_M,Feminino,Moda,Roupas,Blusas,Cropped,2015-09-02,2015-09-04,MARINHO,AZUL
2195_65_0_G,Feminino,Moda,Roupas,Blusas,Blusas,2015-09-02,2015-09-03,PEIXES,AZUL
2195_73_0_G,Feminino,Moda,Roupas,Blusas,Blusas,2015-09-02,2015-09-30,CHAINS PRETA,PRETO
2197_1000024_0_44,Feminino,Moda,Roupas,Calças,Flare,2015-09-02,2015-09-14,VERMELHO,VERMELHO
2197_1000036_0_44,Feminino,Moda,Roupas,Calças,Flare,2015-09-02,2015-10-22,CORAL,LARANJA
2197_1000058_0_44,Feminino,Moda,Roupas,Calças,Flare,2015-09-02,2015-09-14,OFF-WHITE,BRANCO
2197_1000096_0_38,Feminino,Moda,Roupas,Calças,Flare,2015-09-02,2016-05-11,AZUL ESCURO,AZUL
2199_1000024_0_42,Feminino,Moda,Roupas,Calças,Reta,2015-09-02,2015-09-04,VERMELHO,VERMELHO
2199_1000058_0_38,Feminino,Moda,Roupas,Calças,Reta,2015-09-02,2015-09-04,OFF-WHITE,BRANCO
2199_1000058_0_44,Feminino,Moda,Roupas,Calças,Reta,2015-09-02,2015-09-02,OFF-WHITE,BRANCO
2201_1000020_0_36,Feminino,Moda,Roupas,Shorts,,2015-09-02,2015-09-03,AMARELO,AMARELO
2201_1000058_0_38,Feminino,Moda,Roupas,Shorts,,2015-09-02,2015-09-02,OFF-WHITE,BRANCO
2201_1000058_0_42,Feminino,Moda,Roupas,Shorts,,2015-09-02,2015-09-05,OFF-WHITE,BRANCO
2205_77_0_40,Feminino,Moda,Roupas,Shorts,,2015-09-02,2015-09-14,SICILIA,VERMELHO
2207_67_0_40,Feminino,Moda,Roupas,Shorts,,2015-09-02,2015-09-12,MEDITERRÃ?NEO,AZUL
2207_73_0_36,Feminino,Moda,Roupas,Shorts,,2015-09-02,2015-09-02,CHAINS PRETA,PRETO
2209_1000058_0_36,Feminino,Moda,Roupas,Saias,Mini,2015-09-02,2015-09-03,OFF-WHITE,BRANCO
2209_1000058_0_42,Feminino,Moda,Roupas,Saias,Mini,2015-09-02,2015-09-03,OFF-WHITE,BRANCO
2211_1000058_0_38,Feminino,Moda,Roupas,Saias,Midi,2015-09-02,2015-09-02,OFF-WHITE,BRANCO
2213_63_0_G,Feminino,Moda,Roupas,Jaquetas & Casacos,Casacos,2015-09-02,2015-09-27,CAPRI,AZUL
2219_40130843_0_44,Feminino,Moda,Roupas,Blazers,,2015-09-02,2015-09-17,PRETO,PRETO
2221_1000010_0_42,Feminino,Moda,Roupas,Jaquetas & Casacos,Casacos,2015-09-02,2015-09-02,CREME,BEGE
2223_40130843_0_P,Feminino,Moda,Roupas,Vestidos,Maxi,2015-09-02,2015-09-02,PRETO,PRETO
2225_1000096_0_P,Feminino,Moda,Roupas,Saias,Midi,2015-09-02,2015-09-30,AZUL ESCURO,AZUL
2227_1000030_0_G,Feminino,Moda,Roupas,Saias,Midi,2015-09-02,2015-09-02,AZUL,AZUL
2227_1000030_0_P,Feminino,Moda,Roupas,Saias,Midi,2015-09-02,2015-09-09,AZUL,AZUL
2231_1000058_0_38,Feminino,Moda,Roupas,Calças,Skinny,2015-09-02,2015-09-23,OFF-WHITE,BRANCO
2231_1000058_0_40,Feminino,Moda,Roupas,Calças,Skinny,2015-09-02,2015-09-28,OFF-WHITE,BRANCO
2233_40130843_0_G,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-03,PRETO,PRETO
2233_65_0_G,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-02,PEIXES,AZUL
2233_65_0_P,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-09-05,PEIXES,AZUL
2233_71_0_G,Feminino,Moda,Roupas,Blusas,Regatas,2015-09-02,2015-11-05,RIVIERA,VERDE
2257_1000024_0_M,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-07,VERMELHO,VERMELHO
2263_1000032_0_G,Feminino,Moda,Roupas,Blusas,Cropped,2015-09-02,2015-09-08,MARINHO,AZUL
2263_1000058_0_G,Feminino,Moda,Roupas,Blusas,Cropped,2015-09-02,2015-09-07,OFF-WHITE,BRANCO
2263_40130847_0_G,Feminino,Moda,Roupas,Blusas,Cropped,2015-09-02,2015-11-18,BRANCO,BRANCO
2269_1000024_0_36,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-04,VERMELHO,VERMELHO
2269_1000024_0_38,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-04,VERMELHO,VERMELHO
2269_1000046_0_42,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-08,NUDE,ROSA
2271_65_0_40,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-04,PEIXES,AZUL
2271_77_0_38,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-10,SICILIA,VERMELHO
2271_77_0_42,Feminino,Moda,Roupas,Vestidos,Curto,2015-09-02,2015-09-16,SICILIA,VERMELHO
2275_1000058_0_38,Feminino,Moda,Roupas,Calças,Flare,2015-09-02,2015-09-10,OFF-WHITE,BRANCO
